Europe/Zaporozhye,+02:00,+03:00
Africa/Dar_es_Salaam,+03:00,+03:00
Asia/Taipei,+08:00,+08:00
Pacific/Funafuti,+12:00,+12:00
America/Port_of_Spain,_04:00,_04:00
Europe/Istanbul,+02:00,+03:00
Pacific/Tongatapu,+13:00,+13:00
Africa/Tunis,+01:00,+01:00
Asia/Ashgabat,+05:00,+05:00
Asia/Dili,+09:00,+09:00
Pacific/Fakaofo,+14:00,+14:00
Asia/Dushanbe,+05:00,+05:00
Asia/Bangkok,+07:00,+07:00
Africa/Lome,+00:00,+00:00
Indian/Kerguelen,+05:00,+05:00
Africa/Ndjamena,+01:00,+01:00
America/Grand_Turk,_05:00,_04:00
Africa/Mbabane,+02:00,+02:00
Asia/Damascus,+02:00,+03:00
America/Lower_Princes,_04:00,_04:00
America/El_Salvador,_06:00,_06:00
Africa/Sao_Tome,+00:00,+00:00
Africa/Juba,+03:00,+03:00
America/Paramaribo,_03:00,_03:00
Africa/Mogadishu,+03:00,+03:00
Africa/Dakar,+00:00,+00:00
Europe/San_Marino,+01:00,+02:00
Africa/Freetown,+00:00,+00:00
Europe/Bratislava,+01:00,+02:00
Arctic/Longyearbyen,+01:00,+02:00
Europe/Ljubljana,+01:00,+02:00
Atlantic/St_Helena,+00:00,+00:00
Asia/Singapore,+08:00,+08:00
Europe/Stockholm,+01:00,+02:00
Africa/Khartoum,+03:00,+03:00
Indian/Mahe,+04:00,+04:00
Pacific/Guadalcanal,+11:00,+11:00
Asia/Riyadh,+03:00,+03:00
Africa/Kigali,+02:00,+02:00
Asia/Magadan,+12:00,+12:00
Asia/Sakhalin,+11:00,+11:00
Europe/Kaliningrad,+03:00,+03:00
Asia/Anadyr,+12:00,+12:00
Asia/Irkutsk,+09:00,+09:00
Asia/Kamchatka,+12:00,+12:00
Europe/Volgograd,+04:00,+04:00
Europe/Moscow,+04:00,+04:00
Asia/Krasnoyarsk,+08:00,+08:00
Asia/Novosibirsk,+07:00,+07:00
Asia/Novokuznetsk,+07:00,+07:00
Asia/Omsk,+07:00,+07:00
Asia/Yakutsk,+10:00,+10:00
Asia/Vladivostok,+11:00,+11:00
Asia/Yekaterinburg,+06:00,+06:00
Europe/Samara,+04:00,+04:00
Europe/Belgrade,+01:00,+02:00
Europe/Bucharest,+02:00,+03:00
Indian/Reunion,+04:00,+04:00
Asia/Qatar,+03:00,+03:00
America/Asuncion,_04:00,_03:00
Pacific/Palau,+09:00,+09:00
Atlantic/Madeira,+00:00,+01:00
Atlantic/Azores,_01:00,+00:00
Europe/Lisbon,+00:00,+01:00
Asia/Gaza,+02:00,+03:00
Asia/Hebron,+02:00,+03:00
America/Puerto_Rico,_04:00,_04:00
Pacific/Pitcairn,_08:00,_08:00
America/Miquelon,_03:00,_02:00
Europe/Warsaw,+01:00,+02:00
Asia/Karachi,+05:00,+05:00
Asia/Manila,+08:00,+08:00
Pacific/Port_Moresby,+10:00,+10:00
Pacific/Marquesas,_09:30,_09:30
Pacific/Gambier,_09:00,_09:00
Pacific/Tahiti,_10:00,_10:00
America/Lima,_05:00,_05:00
America/Panama,_05:00,_05:00
Asia/Muscat,+04:00,+04:00
Pacific/Auckland,+12:00,+13:00
Pacific/Chatham,+12:45,+13:45
Pacific/Niue,_11:00,_11:00
Pacific/Nauru,+12:00,+12:00
Asia/Kathmandu,+05:45,+05:45
Europe/Oslo,+01:00,+02:00
Europe/Amsterdam,+01:00,+02:00
America/Managua,_06:00,_06:00
Africa/Lagos,+01:00,+01:00
Pacific/Norfolk,+11:30,+11:30
Africa/Niamey,+01:00,+01:00
Pacific/Noumea,+11:00,+11:00
Africa/Windhoek,+01:00,+02:00
Africa/Maputo,+02:00,+02:00
Asia/Kuala_Lumpur,+08:00,+08:00
Asia/Kuching,+08:00,+08:00
America/Chihuahua,_07:00,_06:00
America/Cancun,_06:00,_05:00
America/Bahia_Banderas,_06:00,_05:00
America/Ojinaga,_07:00,_06:00
America/Santa_Isabel,_08:00,_07:00
America/Hermosillo,_07:00,_07:00
America/Tijuana,_08:00,_07:00
America/Monterrey,_06:00,_05:00
America/Mazatlan,_07:00,_06:00
America/Matamoros,_06:00,_05:00
America/Merida,_06:00,_05:00
America/Mexico_City,_06:00,_05:00
Africa/Blantyre,+02:00,+02:00
Indian/Maldives,+05:00,+05:00
Indian/Mauritius,+04:00,+04:00
Europe/Malta,+01:00,+02:00
America/Montserrat,_04:00,_04:00
Africa/Nouakchott,+00:00,+00:00
America/Martinique,_04:00,_04:00
Pacific/Saipan,+10:00,+10:00
Asia/Macau,+08:00,+08:00
Asia/Hovd,+07:00,+07:00
Asia/Choibalsan,+08:00,+08:00
Asia/Ulaanbaatar,+08:00,+08:00
Asia/Rangoon,+06:30,+06:30
Africa/Bamako,+00:00,+00:00
Europe/Skopje,+01:00,+02:00
Pacific/Kwajalein,+12:00,+12:00
Pacific/Majuro,+12:00,+12:00
Indian/Antananarivo,+03:00,+03:00
America/Marigot,_04:00,_04:00
Europe/Podgorica,+01:00,+02:00
Europe/Chisinau,+02:00,+03:00
Europe/Monaco,+01:00,+02:00
Africa/Casablanca,+00:00,+01:00
Africa/Tripoli,+02:00,+02:00
Europe/Riga,+02:00,+03:00
Europe/Luxembourg,+01:00,+02:00
Europe/Vilnius,+02:00,+03:00
Africa/Maseru,+02:00,+02:00
Africa/Monrovia,+00:00,+00:00
Asia/Colombo,+05:30,+05:30
Europe/Vaduz,+01:00,+02:00
America/St_Lucia,_04:00,_04:00
Asia/Beirut,+02:00,+03:00
Asia/Vientiane,+07:00,+07:00
Asia/Aqtobe,+05:00,+05:00
Asia/Oral,+05:00,+05:00
Asia/Aqtau,+05:00,+05:00
Asia/Almaty,+06:00,+06:00
Asia/Qyzylorda,+06:00,+06:00
America/Cayman,_05:00,_05:00
Asia/Kuwait,+03:00,+03:00
Asia/Seoul,+09:00,+09:00
Asia/Pyongyang,+09:00,+09:00
America/St_Kitts,_04:00,_04:00
Indian/Comoro,+03:00,+03:00
Pacific/Kiritimati,+14:00,+14:00
Pacific/Enderbury,+13:00,+13:00
Pacific/Tarawa,+12:00,+12:00
Asia/Phnom_Penh,+07:00,+07:00
Asia/Bishkek,+06:00,+06:00
Africa/Nairobi,+03:00,+03:00
Asia/Tokyo,+09:00,+09:00
Asia/Amman,+02:00,+03:00
America/Jamaica,_05:00,_05:00
Europe/Jersey,+00:00,+01:00
Europe/Rome,+01:00,+02:00
Atlantic/Reykjavik,+00:00,+00:00
Asia/Tehran,+03:30,+04:30
Asia/Baghdad,+03:00,+03:00
Indian/Chagos,+06:00,+06:00
Asia/Kolkata,+05:30,+05:30
Europe/Isle_of_Man,+00:00,+01:00
Asia/Jerusalem,+02:00,+03:00
Europe/Dublin,+00:00,+01:00
Asia/Makassar,+08:00,+08:00
Asia/Pontianak,+07:00,+07:00
Asia/Jakarta,+07:00,+07:00
Asia/Jayapura,+09:00,+09:00
Europe/Budapest,+01:00,+02:00
America/Port-au-Prince,_05:00,_04:00
Europe/Zagreb,+01:00,+02:00
America/Tegucigalpa,_06:00,_06:00
Asia/Hong_Kong,+08:00,+08:00
America/Guyana,_04:00,_04:00
Africa/Bissau,+00:00,+00:00
Pacific/Guam,+10:00,+10:00
America/Guatemala,_06:00,_06:00
Atlantic/South_Georgia,_02:00,_02:00
Europe/Athens,+02:00,+03:00
Africa/Malabo,+01:00,+01:00
America/Guadeloupe,_04:00,_04:00
Africa/Conakry,+00:00,+00:00
Africa/Banjul,+00:00,+00:00
America/Scoresbysund,_01:00,+00:00
America/Thule,_04:00,_03:00
America/Godthab,_03:00,_02:00
America/Danmarkshavn,+00:00,+00:00
Europe/Gibraltar,+01:00,+02:00
Africa/Accra,+00:00,+00:00
Europe/Guernsey,+00:00,+01:00
America/Cayenne,_03:00,_03:00
Asia/Tbilisi,+04:00,+04:00
America/Grenada,_04:00,_04:00
Africa/Libreville,+01:00,+01:00
Europe/Paris,+01:00,+02:00
Atlantic/Faroe,+00:00,+01:00
Pacific/Kosrae,+11:00,+11:00
Pacific/Pohnpei,+11:00,+11:00
Pacific/Chuuk,+10:00,+10:00
Atlantic/Stanley,_03:00,_03:00
Pacific/Fiji,+12:00,+13:00
Europe/Helsinki,+02:00,+03:00
Africa/Addis_Ababa,+03:00,+03:00
Europe/Madrid,+01:00,+02:00
Africa/Ceuta,+01:00,+02:00
Atlantic/Canary,+00:00,+01:00
Africa/Asmara,+03:00,+03:00
Africa/El_Aaiun,+00:00,+00:00
Africa/Cairo,+02:00,+02:00
Europe/Tallinn,+02:00,+03:00
Pacific/Galapagos,_06:00,_06:00
America/Guayaquil,_05:00,_05:00
Africa/Algiers,+01:00,+01:00
America/Santo_Domingo,_04:00,_04:00
America/Dominica,_04:00,_04:00
Europe/Copenhagen,+01:00,+02:00
Africa/Djibouti,+03:00,+03:00
Europe/Berlin,+01:00,+02:00
Europe/Prague,+01:00,+02:00
Asia/Nicosia,+02:00,+03:00
Indian/Christmas,+07:00,+07:00
America/Curacao,_04:00,_04:00
Atlantic/Cape_Verde,_01:00,_01:00
America/Havana,_05:00,_04:00
America/Costa_Rica,_06:00,_06:00
America/Bogota,_05:00,_05:00
Asia/Chongqing,+08:00,+08:00
Asia/Shanghai,+08:00,+08:00
Asia/Urumqi,+08:00,+08:00
Asia/Kashgar,+08:00,+08:00
Asia/Harbin,+08:00,+08:00
Africa/Douala,+01:00,+01:00
America/Santiago,_04:00,_03:00
Pacific/Easter,_06:00,_05:00
Pacific/Rarotonga,_10:00,_10:00
Africa/Abidjan,+00:00,+00:00
Europe/Zurich,+01:00,+02:00
Africa/Brazzaville,+01:00,+01:00
Africa/Bangui,+01:00,+01:00
Africa/Lubumbashi,+02:00,+02:00
Africa/Kinshasa,+01:00,+01:00
Indian/Cocos,+06:30,+06:30
America/Cambridge_Bay,_07:00,_06:00
America/Dawson_Creek,_07:00,_07:00
America/Creston,_07:00,_07:00
America/Blanc-Sablon,_04:00,_04:00
America/Atikokan,_05:00,_05:00
America/Halifax,_04:00,_03:00
America/Edmonton,_07:00,_06:00
America/Goose_Bay,_04:00,_03:00
America/Iqaluit,_05:00,_04:00
America/Montreal,_05:00,_04:00
America/Rankin_Inlet,_06:00,_05:00
America/Rainy_River,_06:00,_05:00
America/Pangnirtung,_05:00,_04:00
America/Resolute,_06:00,_05:00
America/Regina,_06:00,_06:00
America/St_Johns,_03:30,_02:30
America/Moncton,_04:00,_03:00
America/Nipigon,_05:00,_04:00
America/Toronto,_05:00,_04:00
America/Thunder_Bay,_05:00,_04:00
America/Swift_Current,_06:00,_06:00
America/Winnipeg,_06:00,_05:00
America/Whitehorse,_08:00,_07:00
America/Vancouver,_08:00,_07:00
America/Yellowknife,_07:00,_06:00
America/Inuvik,_07:00,_06:00
America/Glace_Bay,_04:00,_03:00
America/Dawson,_08:00,_07:00
America/Belize,_06:00,_06:00
Europe/Minsk,+03:00,+03:00
Africa/Gaborone,+02:00,+02:00
Asia/Thimphu,+06:00,+06:00
America/Nassau,_05:00,_04:00
America/Boa_Vista,_04:00,_04:00
America/Bahia,_03:00,_02:00
America/Belem,_03:00,_03:00
America/Santarem,_03:00,_03:00
America/Eirunepe,_04:00,_04:00
America/Cuiaba,_04:00,_03:00
America/Araguaina,_03:00,_03:00
America/Sao_Paulo,_03:00,_02:00
America/Campo_Grande,_04:00,_03:00
America/Fortaleza,_03:00,_03:00
America/Maceio,_03:00,_03:00
America/Manaus,_04:00,_04:00
America/Recife,_03:00,_03:00
America/Porto_Velho,_04:00,_04:00
America/Noronha,_02:00,_02:00
America/Rio_Branco,_04:00,_04:00
America/Kralendijk,_04:00,_04:00
America/La_Paz,_04:00,_04:00
Asia/Brunei,+08:00,+08:00
Atlantic/Bermuda,_04:00,_03:00
America/St_Barthelemy,_04:00,_04:00
Africa/Porto-Novo,+01:00,+01:00
Africa/Bujumbura,+02:00,+02:00
Asia/Bahrain,+03:00,+03:00
Europe/Sofia,+02:00,+03:00
Africa/Ouagadougou,+00:00,+00:00
Europe/Brussels,+01:00,+02:00
Asia/Dhaka,+06:00,+06:00
America/Barbados,_04:00,_04:00
Europe/Sarajevo,+01:00,+02:00
Asia/Baku,+04:00,+05:00
Europe/Mariehamn,+02:00,+03:00
America/Aruba,_04:00,_04:00
Australia/Eucla,+08:45,+08:45
Australia/Darwin,+09:30,+09:30
Australia/Brisbane,+10:00,+10:00
Australia/Hobart,+10:00,+11:00
Australia/Currie,+10:00,+11:00
Australia/Perth,+08:00,+08:00
Australia/Lord_Howe,+10:30,+11:00
Australia/Lindeman,+10:00,+10:00
Australia/Adelaide,+09:30,+10:30
Australia/Sydney,+10:00,+11:00
Australia/Melbourne,+10:00,+11:00
Australia/Broken_Hill,+09:30,+10:30
Europe/Vienna,+01:00,+02:00
Pacific/Pago_Pago,_11:00,_11:00
America/Argentina/San_Juan,_03:00,_03:00
America/Argentina/San_Luis,_03:00,_03:00
America/Argentina/Rio_Gallegos,_03:00,_03:00
America/Argentina/Salta,_03:00,_03:00
America/Argentina/Ushuaia,_03:00,_03:00
America/Argentina/La_Rioja,_03:00,_03:00
America/Argentina/Jujuy,_03:00,_03:00
America/Argentina/Cordoba,_03:00,_03:00
America/Argentina/Catamarca,_03:00,_03:00
America/Argentina/Buenos_Aires,_03:00,_03:00
America/Argentina/Mendoza,_03:00,_03:00
America/Argentina/Tucuman,_03:00,_03:00
Antarctica/McMurdo,+12:00,+13:00
Antarctica/Syowa,+03:00,+03:00
Antarctica/Palmer,_04:00,_03:00
Antarctica/South_Pole,+12:00,+13:00
Antarctica/Mawson,+05:00,+05:00
Antarctica/DumontDUrville,+10:00,+10:00
Antarctica/Casey,+11:00,+08:00
Antarctica/Vostok,+06:00,+06:00
Antarctica/Macquarie,+11:00,+11:00
Antarctica/Davis,+05:00,+07:00
Antarctica/Rothera,_03:00,_03:00
Africa/Luanda,+01:00,+01:00
Asia/Yerevan,+04:00,+04:00
Europe/Tirane,+01:00,+02:00
America/Anguilla,_04:00,_04:00
America/Antigua,_04:00,_04:00
Asia/Kabul,+04:30,+04:30
Asia/Dubai,+04:00,+04:00
Europe/Andorra,+01:00,+02:00
America/Cordoba,_03:00,_03:00
America/Ensenada,_08:00,_07:00
America/Fort_Wayne,_05:00,_04:00
America/Indianapolis,_05:00,_04:00
America/Jujuy,_03:00,_03:00
America/Knox_IN,_06:00,_05:00
America/Louisville,_05:00,_04:00
America/Mendoza,_03:00,_03:00
America/Porto_Acre,_04:00,_04:00
America/Rosario,_03:00,_03:00
America/Virgin,_04:00,_04:00
Asia/Ashkhabad,+05:00,+05:00
Asia/Calcutta,+05:30,+05:30
Asia/Chungking,+08:00,+08:00
Asia/Dacca,+06:00,+06:00
Asia/Istanbul,+02:00,+03:00
Asia/Katmandu,+05:45,+05:45
Asia/Macao,+08:00,+08:00
Asia/Saigon,+07:00,+07:00
Asia/Tel_Aviv,+02:00,+03:00
Asia/Thimbu,+06:00,+06:00
Asia/Ujung_Pandang,+08:00,+08:00
Asia/Ulan_Bator,+08:00,+08:00
Atlantic/Faeroe,+00:00,+01:00
Atlantic/Jan_Mayen,+01:00,+02:00
Australia/ACT,+10:00,+11:00
Australia/Canberra,+10:00,+11:00
Australia/LHI,+10:30,+11:00
Australia/North,+09:30,+09:30
Australia/NSW,+10:00,+11:00
Australia/Queensland,+10:00,+10:00
Australia/South,+09:30,+10:30
Australia/Tasmania,+10:00,+11:00
Australia/Victoria,+10:00,+11:00
Australia/West,+08:00,+08:00
Australia/Yancowinna,+09:30,+10:30
Brazil/Acre,_04:00,_04:00
Brazil/DeNoronha,_02:00,_02:00
Brazil/East,_03:00,_02:00
Brazil/West,_04:00,_04:00
Canada/Atlantic,_04:00,_03:00
Canada/Central,_06:00,_05:00
Canada/Eastern,_05:00,_04:00
Canada/East-Saskatchewan,_06:00,_06:00
Canada/Mountain,_07:00,_06:00
Canada/Newfoundland,_03:30,_02:30
Canada/Pacific,_08:00,_07:00
Canada/Saskatchewan,_06:00,_06:00
Canada/Yukon,_08:00,_07:00
CET,+01:00,+02:00
Chile/Continental,_04:00,_03:00
Chile/EasterIsland,_06:00,_05:00
CST6CDT,_06:00,_05:00
Cuba,_05:00,_04:00
EET,+02:00,+03:00
Egypt,+02:00,+02:00
Eire,+00:00,+01:00
EST,_05:00,_05:00
EST5EDT,_05:00,_04:00
Etc/GMT,+00:00,+00:00
America/Argentina/ComodRivadavia,_03:00,_03:00
AKST9AKDT,_09:00,_08:00
Africa/Timbuktu,+00:00,+00:00
Africa/Asmera,+03:00,+03:00
America/Coral_Harbour,_05:00,_05:00
America/Catamarca,_03:00,_03:00
America/Buenos_Aires,_03:00,_03:00
America/Atka,_10:00,_09:00
GB,+00:00,+01:00
GB-Eire,+00:00,+01:00
GMT,+00:00,+00:00
GMT+0,+00:00,+00:00
GMT0,+00:00,+00:00
GMT-0,+00:00,+00:00
Greenwich,+00:00,+00:00
Hongkong,+08:00,+08:00
HST,_10:00,_10:00
Iceland,+00:00,+00:00
Iran,+03:30,+04:30
Israel,+02:00,+03:00
Jamaica,_05:00,_05:00
Japan,+09:00,+09:00
JST-9,+09:00,+09:00
Kwajalein,+12:00,+12:00
Libya,+02:00,+02:00
MET,+01:00,+02:00
Mexico/BajaNorte,_08:00,_07:00
Mexico/BajaSur,_07:00,_06:00
Mexico/General,_06:00,_05:00
MST,_07:00,_07:00
MST7MDT,_07:00,_06:00
Navajo,_07:00,_06:00
NZ,+12:00,+13:00
NZ-CHAT,+12:45,+13:45
Etc/UTC,+00:00,+00:00
Etc/Universal,+00:00,+00:00
Etc/UCT,+00:00,+00:00
Etc/GMT+0,+00:00,+00:00
Europe/Tiraspol,+02:00,+03:00
Europe/Nicosia,+02:00,+03:00
Europe/Belfast,+00:00,+01:00
Etc/Zulu,+00:00,+00:00
ROC,+08:00,+08:00
ROK,+09:00,+09:00
Singapore,+08:00,+08:00
Turkey,+02:00,+03:00
UCT,+00:00,+00:00
Universal,+00:00,+00:00
US/Alaska,_09:00,_08:00
US/Aleutian,_10:00,_09:00
US/Arizona,_07:00,_07:00
Pacific/Yap,+10:00,+10:00
Pacific/Truk,+10:00,+10:00
Pacific/Samoa,_11:00,_11:00
Pacific/Ponape,+11:00,+11:00
PST8PDT,_08:00,_07:00
PRC,+08:00,+08:00
Portugal,+00:00,+01:00
Poland,+01:00,+02:00
US/Pacific-New,_08:00,_07:00
US/Hawaii,_10:00,_10:00
US/East-Indiana,_05:00,_04:00
US/Eastern,_05:00,_04:00
US/Central,_06:00,_05:00
US/Pacific,_08:00,_07:00
US/Mountain,_07:00,_06:00
US/Michigan,_05:00,_04:00
US/Indiana-Starke,_06:00,_05:00
US/Samoa,_11:00,_11:00
UTC,+00:00,+00:00
WET,+00:00,+01:00
W-SU,+04:00,+04:00
Zulu,+00:00,+00:00
